Const,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date in Italy,Directors,Banning Date,Rerating,Sex and Nudity,Violence and Blood,Obscenity,"Alcool, Drugs and Smoking",Scary scenes
tt0024894,The Black Cat,The Black Cat,https://www.imdb.com/title/tt0024894/,Film,6.9,65,1934,"Poliziesco, Horror, Sentimentale, Thriller",13426,5/7/1934,Edgar G. Ulmer,1935,Cut,Nessuna,Leggera,Nessuna,Leggera,Moderata
tt0040746,Nodo alla gola,Rope,https://www.imdb.com/title/tt0040746/,Film,7.9,80,1948,"Poliziesco, Drammatico, Giallo, Thriller",157448,11/17/1956,Alfred Hitchcock,1949,"VM16, Cut, VM18, VM16",Nessuna,Leggera,Nessuna,Leggera,Moderata
tt0062776,Candy e il suo pazzo mondo,Candy,https://www.imdb.com/title/tt0062776/,Film,5.1,124,1968,"Avventura, Commedia, Fantastico",3735,2/5/1970,Christian Marquand,1968,"VM18, VM14, Cut",Moderata,Leggera,Nessuna,Leggera,Leggera
tt0071650,Ilsa la belva delle SS,Ilsa: She Wolf of the SS,https://www.imdb.com/title/tt0071650/,Film,5.1,96,1975,"Drammatico, Horror, Thriller, Guerra",8339,10/1/1975,Don Edmonds,1976,"VM18, Cut",Grave,Grave,Moderata,Leggera,Grave
tt0046911,I diabolici,Les diaboliques,https://www.imdb.com/title/tt0046911/,Film,8.1,117,1955,"Poliziesco, Drammatico, Horror, Giallo, Thriller",70515,10/31/1956,Henri-Georges Clouzot,1955,"VM16, Cut",Leggera,Leggera,Leggera,Leggera,Moderata
tt0058401,La doppia vita di Dan Craig,Night Must Fall,https://www.imdb.com/title/tt0058401/,Film,6.5,101,1964,"Poliziesco, Thriller",984,4/22/1964,Karel Reisz,1964,VM18,,,,,Moderata
tt0020629,All'ovest niente di nuovo,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,Film,8.1,152,1930,"Drammatico, Guerra",68748,3/14/1956,Lewis Milestone,1953,Cut,Leggera,Grave,Leggera,Leggera,Grave
tt0031679,Mr. Smith va a Washington,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,Film,8.1,129,1939,"Commedia, Drammatico",123295,4/5/1947,Frank Capra,1939,,Nessuna,Leggera,Leggera,Leggera,Leggera
tt0075163,Salon Kitty,Salon Kitty,https://www.imdb.com/title/tt0075163/,Film,5.4,129,1976,"Drammatico, Guerra",5149,3/2/1976,Tinto Brass,1975,"VM18, Cut, VM14",Grave,Grave,Grave,Moderata,Grave
tt0067690,La vestale di Satana,Les lèvres rouges,https://www.imdb.com/title/tt0067690/,Film,6.5,87,1971,Horror,7303,11/25/1971,Harry Kümel,1971,VM18,Moderata,Moderata,Nessuna,Leggera,Leggera
tt0070013,L'isola delle demoniache,Les démoniaques,https://www.imdb.com/title/tt0070013/,Film,5.0,77,1974,Horror,1634,12/5/1974,Jean Rollin,1974,VM18,Grave,Moderata,Leggera,Leggera,Moderata
tt0023427,Scarface - Lo sfregiato,Scarface,https://www.imdb.com/title/tt0023427/,Film,7.7,93,1932,"Azione, Poliziesco, Drammatico, Noir, Thriller",31102,4/9/1932,"Howard Hawks, Richard Rosson",1946,Cut,Nessuna,Moderata,Moderata,Leggera,Moderata
tt0037549,La jena: L'uomo di mezzanotte,The Body Snatcher,https://www.imdb.com/title/tt0037549/,Film,7.3,78,1945,"Horror, Thriller",10554,4/9/1951,Robert Wise,1949,"VM16, Cut",Nessuna,Leggera,Nessuna,Leggera,Moderata
tt0062979,Flesh,Flesh,https://www.imdb.com/title/tt0062979/,Film,5.7,89,1968,Drammatico,2644,5/27/1970,Paul Morrissey,1970,VM18,Grave,Nessuna,Moderata,Leggera,Nessuna
tt0071992,Questo sesso ribelle,Pets,https://www.imdb.com/title/tt0071992/,Film,5.7,89,1973,Drammatico,761,4/10/1975,Raphael Nussbaum,1974,"VM18, Cut",Leggera,Moderata,Moderata,Nessuna,Nessuna
tt0066482,Trash - I rifiuti di New York,Trash,https://www.imdb.com/title/tt0066482/,Film,6.1,110,1970,Drammatico,2923,2/18/1971,Paul Morrissey,1972,VM18,Grave,Moderata,Grave,Moderata,Nessuna
tt0069957,Gola profonda,Deep Throat Part II,https://www.imdb.com/title/tt0069957/,Film,3.6,93,1974,"Commedia, Fantascienza",739,12/6/1975,Joseph W. Sarno,1975,"VM18, Cut",Moderata,Nessuna,Leggera,Leggera,Nessuna
tt0081059,Il leone del deserto,Lion of the Desert,https://www.imdb.com/title/tt0081059/,Film,8.2,173,1980,"Biografico, Drammatico, Storico, Guerra",17787,5/16/1981,Moustapha Akkad,1982,VM14,Nessuna,Moderata,Nessuna,Leggera,Moderata
tt0063032,Il grande silenzio,Il grande silenzio,https://www.imdb.com/title/tt0063032/,Film,7.7,105,1968,"Drammatico, Western",18594,1/27/1969,Sergio Corbucci,1968,"VM18, Cut",Moderata,Grave,Leggera,Moderata,Grave
tt0028950,La grande illusione,La grande illusion,https://www.imdb.com/title/tt0028950/,Film,8.1,113,1937,"Drammatico, Guerra",39517,12/10/1947,Jean Renoir,1938,Cut,Nessuna,Leggera,Leggera,Leggera,Nessuna
tt0167886,Il demonio,Il demonio,https://www.imdb.com/title/tt0167886/,Film,7.2,98,1963,"Drammatico, Horror",1323,11/29/1967,Brunello Rondi,1963,"VM18, Cut",Leggera,Moderata,Leggera,Nessuna,Moderata
tt0075376,Le deliranti avventure erotiche dell'agente speciale Margò,Up!,https://www.imdb.com/title/tt0075376/,Film,5.8,80,1976,"Commedia, Giallo, Thriller",3265,12/7/1983,Russ Meyer,1978,"VM18, VM14",Grave,Grave,Grave,Moderata,Moderata
tt0068688,Calore,Heat,https://www.imdb.com/title/tt0068688/,Film,6.1,102,1972,"Commedia, Drammatico, Sentimentale",1918,10/6/1972,Paul Morrissey,1975,"VM18, Cut",Grave,Leggera,Leggera,Leggera,Nessuna
tt0073017,Penitenziario femminile per reati sessuali,Frauengefängnis,https://www.imdb.com/title/tt0073017/,Film,4.4,90,1976,"Poliziesco, Drammatico, Horror, Thriller",1577,4/23/1976,Jesús Franco,1976,VM18,Grave,Moderata,Moderata,Moderata,Leggera
tt0069973,Le giornate intime di una giovane donna,Le journal intime d'une nymphomane,https://www.imdb.com/title/tt0069973/,Film,5.4,87,1973,"Poliziesco, Drammatico, Thriller",627,6/21/1973,Jesús Franco,1974,"VM18, Cut",Moderata,Moderata,Moderata,Leggera,Leggera
tt0023969,La guerra lampo dei Fratelli Marx,Duck Soup,https://www.imdb.com/title/tt0023969/,Film,7.7,69,1933,"Commedia, Musical",63515,11/17/1933,Leo McCarey,1933,Cut,Nessuna,Nessuna,Nessuna,Leggera,Nessuna
tt0015648,La corazzata Potemkin,Bronenosets Potyomkin,https://www.imdb.com/title/tt0015648/,Film,7.9,75,1925,"Drammatico, Storico, Thriller, Guerra",62362,4/7/1960,Sergei Eisenstein,1925,Cut,Nessuna,Moderata,Nessuna,Nessuna,Moderata
tt0094716,Belva di guerra,The Beast,https://www.imdb.com/title/tt0094716/,Film,7.3,111,1988,"Avventura, Drammatico, Guerra",10972,12/1/1988,Kevin Reynolds,1988,,Leggera,Grave,Moderata,Leggera,Moderata
tt0063707,Top Sensation,Top Sensation,https://www.imdb.com/title/tt0063707/,Film,5.5,86,1969,"Drammatico, Horror, Thriller",746,3/29/1969,Ottavio Alessi,1969,"VM18, Cut",Moderata,Moderata,,Leggera,Leggera
tt0122685,"Riti, magie nere e segrete orge nel trecento...","Riti, magie nere e segrete orge nel Trecento...",https://www.imdb.com/title/tt0122685/,Film,4.9,98,1973,Horror,1060,1/17/1973,Renato Polselli,1972,VM18,Moderata,Moderata,Leggera,Leggera,Moderata
tt0065488,Festa per il compleanno del caro amico Harold,The Boys in the Band,https://www.imdb.com/title/tt0065488/,Film,7.6,120,1970,Drammatico,6092,10/29/1970,William Friedkin,1970,"VM18, VM14",Leggera,Leggera,Grave,Leggera,Leggera
tt0463027,Extrema - Al limite della vendetta,Descent,https://www.imdb.com/title/tt0463027/,Film,4.7,104,2007,"Drammatico, Thriller",3317,3/4/2009,Talia Lugacy,2008,"Cut, VM18",Grave,Grave,Moderata,Leggera,Moderata
tt0070821,Schiave del piacere,Tout le monde il en a deux,https://www.imdb.com/title/tt0070821/,Film,4.6,77,1974,"Commedia, Drammatico",578,8/4/1974,Jean Rollin,1978,"VM18, Cut",Moderata,,,,
tt0070376,Il tango del materasso,Matratzen-Tango,https://www.imdb.com/title/tt0070376/,Film,5.9,88,1973,Commedia,34,9/7/1973,Eberhard Schröder,1973,VM18,,,,,
tt0073836,L'ultimo treno della notte,L'ultimo treno della notte,https://www.imdb.com/title/tt0073836/,Film,6.1,94,1975,"Horror, Thriller",3515,4/8/1975,Aldo Lado,1975,VM18,Grave,Grave,Moderata,Grave,Grave
tt0075936,Punk Story,Desperate Living,https://www.imdb.com/title/tt0108461/,Film,7.0,90,1977,"Commedia, Poliziesco, Fantastico, Horror",6016,3/7/1979,John Waters,1978,"VM18, Cut",Grave,Grave,Grave,Leggera,Grave
tt0070660,La seduzione,La seduzione,https://www.imdb.com/title/tt0070660/,Film,6.0,99,1973,"Poliziesco, Drammatico, Sentimentale",623,10/30/1973,Fernando Di Leo,1973,"VM18, Cut",Leggera,Nessuna,Leggera,Leggera,Nessuna
tt0066827,La bestia uccide a sangue freddo,La bestia uccide a sangue freddo,https://www.imdb.com/title/tt0066827/,Film,5.0,96,1971,"Horror, Giallo, Thriller",1918,8/2/1971,Fernando Di Leo,1971,"VM18, Cut",Grave,Moderata,Nessuna,Leggera,Leggera
tt0080419,Barnens ö,Barnens ö,https://www.imdb.com/title/tt0080419/,Film,6.4,109,1980,"Drammatico, Sentimentale",962,12/25/1980,Kay Pollak,1980,,Moderata,Leggera,Leggera,Leggera,Leggera
tt0052556,Gli amanti,Les amants,https://www.imdb.com/title/tt0052556/,Film,7.2,90,1958,"Drammatico, Sentimentale",6062,4/10/1959,Louis Malle,1959,"VM18, VM16, VM14",Leggera,Nessuna,Nessuna,Leggera,Leggera
tt0046451,Grisbi,Touchez pas au grisbi,https://www.imdb.com/title/tt0046451/,Film,7.7,96,1954,"Poliziesco, Drammatico",8764,10/1/1954,Jacques Becker,1954,"VM16, VM14",Leggera,Leggera,Moderata,Nessuna,Leggera
tt0064626,Le malizie di Venere,Le malizie di Venere,https://www.imdb.com/title/tt0064626/,Film,5.1,83,1969,Drammatico,720,11/26/1969,Massimo Dallamano,1972,"VM18, Cut, VM14",,,,,
tt0073869,"Vizi privati, pubbliche virtù","Vizi privati, pubbliche virtù",https://www.imdb.com/title/tt0073869/,Film,5.6,104,1976,"Drammatico, Storico",905,5/6/1976,Miklós Jancsó,1976,"VM18, Cut",Grave,Nessuna,Leggera,Leggera,Nessuna
tt0029850,Alessandro Nevsky,Aleksandr Nevskiy,https://www.imdb.com/title/tt0029850/,Film,7.5,112,1938,"Azione, Biografico, Drammatico, Storico, Guerra",12478,5/1/1960,"Sergei Eisenstein, Dmitriy Vasilev",1949,T,Leggera,Leggera,Nessuna,Nessuna,Leggera
tt0052811,Le jene di Edimburgo,The Flesh and the Fiends,https://www.imdb.com/title/tt0052811/,Film,6.9,94,1960,"Poliziesco, Drammatico, Thriller",2441,11/4/1960,John Gilling,1960,VM16,Leggera,Leggera,Nessuna,Moderata,Leggera
tt0022867,Estasi,Ekstase,https://www.imdb.com/title/tt0022867/,Film,6.6,82,1933,"Drammatico, Sentimentale",2848,1/20/1933,Gustav Machatý,1949,,Leggera,Leggera,Nessuna,Leggera,Leggera
tt0073398,La moglie vergine,La moglie vergine,https://www.imdb.com/title/tt0073398/,Film,5.1,100,1975,Commedia,408,12/20/1975,Marino Girolami,1975,"VM18, VM14",Leggera,,,,
tt0080450,Blow Job - Dolce lingua,Blow Job,https://www.imdb.com/title/tt0080450/,Film,5.1,78,1980,"Drammatico, Horror, Giallo",191,5/17/1980,Alberto Cavallone,1980,VM18 ,,,,,
tt0054209,Private Property,Private Property,https://www.imdb.com/title/tt0054209/,Film,6.7,79,1960,"Poliziesco, Drammatico",1321,4/24/1960,Leslie Stevens,1961,,Grave,,,,
tt0059816,I piaceri della tortura,Tokugawa onna keibatsu-shi,https://www.imdb.com/title/tt0059816/,Film,6.1,96,1968,"Drammatico, Horror",735,10/1/1971,Teruo Ishii,1971,"VM18, Cut",Moderata,Moderata,Nessuna,Nessuna,Grave
tt0063185,L'assassinio di Sister George,The Killing of Sister George,https://www.imdb.com/title/tt0063185/,Film,7.0,138,1968,Drammatico,2611,11/3/1969,Robert Aldrich,1970,"VM18, T",Moderata,Leggera,Moderata,Leggera,Moderata
tt0021607,Una tragedia americana,An American Tragedy,https://www.imdb.com/title/tt0021607/,Film,6.4,96,1931,"Poliziesco, Drammatico, Sentimentale",980,8/22/1931,Josef von Sternberg,1940,T,,,,,
tt0063013,Nuda sotto la pelle,The Girl on a Motorcycle,https://www.imdb.com/title/tt0063013/,Film,5.3,91,1968,"Drammatico, Sentimentale",2724,5/22/1905,Jack Cardiff,1969,VM18,Leggera,Nessuna,Leggera,Leggera,Leggera
tt0036653,La follia di Barbablù,Bluebeard,https://www.imdb.com/title/tt0036653/,Film,5.9,72,1944,"Poliziesco, Horror, Thriller",2197,11/11/1944,Edgar G. Ulmer,1945,T,Nessuna,Leggera,Nessuna,Leggera,Nessuna
tt0054020,The Leech Woman,The Leech Woman,https://www.imdb.com/title/tt0054020/,Film,4.8,77,1960,"Horror, Sentimentale, Fantascienza",2333,5/1/1960,Edward Dein,1960,,Leggera,Nessuna,Nessuna,Nessuna,Nessuna
tt0058701,Una donna sposata,Une femme mariée: Suite de fragments d'un film tourné en 1964,https://www.imdb.com/title/tt0058701/,Film,7.1,95,1964,"Drammatico, Sentimentale",4469,5/27/1967,Jean-Luc Godard,1965,"VM18, T",Leggera,Nessuna,Nessuna,Leggera,Nessuna
tt0063751,L'urlo,L'urlo,https://www.imdb.com/title/tt0063751/,Film,5.0,93,1970,Commedia,572,6/14/1974,Tinto Brass,1969,VM18,Moderata,Leggera,Moderata,Leggera,Moderata
tt0081606,Ai cessi in tassì,Taxi zum Klo,https://www.imdb.com/title/tt0081606/,Film,6.5,98,1980,"Commedia, Drammatico, Sentimentale",1809,1/9/1981,Frank Ripploh,1983,VM18,Grave,Leggera,Moderata,Leggera,
tt0068296,Le pillole del farmacista,Die liebestollen Apothekerstöchter,https://www.imdb.com/title/tt0068296/,Film,4.5,75,1972,Commedia,231,5/27/1905,"Franz Antel, Michel Caputo",1974,VM18,,,,,
tt0069039,Oh! Calcutta! (1972),Oh! Calcutta!,https://www.imdb.com/title/tt0069039/,Film,5.0,123,1972,"Commedia, Musical",306,6/1/1972,"Guillaume Martin Aucoin, Jacques Levy",1973,VM18,,,,,
tt0127819,Amori segreti di Romeo e Giulietta,The Secret Sex Lives of Romeo and Juliet,https://www.imdb.com/title/tt0127819/,Film,4.5,96,1969,Commedia,304,3/1/1969,Peter Perry Jr.,1971,VM14,Moderata,Leggera,Leggera,Moderata,Nessuna
tt0066826,L'adultera,The Touch,https://www.imdb.com/title/tt0066826/,Film,6.3,115,1971,Drammatico,2278,11/26/1971,Ingmar Bergman,1971,"VM18, T",Moderata,Moderata,Moderata,Moderata,Moderata
tt0070957,La tenerezza del lupo,Die Zärtlichkeit der Wölfe,https://www.imdb.com/title/tt0070957/,Film,6.3,82,1973,"Biografico, Poliziesco, Drammatico, Horror, Thriller",1623,7/12/1973,Ulli Lommel,1981,VM14,,Grave,,,Grave
tt0123847,Braccio 9 - Violentate senza pietà!!!,Frauen für Zellenblock 9,https://www.imdb.com/title/tt0123847/,Film,4.3,75,1978,"Azione, Poliziesco, Drammatico, Horror",1074,3/17/1978,Jesús Franco,1980,,Moderata,Grave,Leggera,Leggera,Moderata
tt0065918,La contessa... e i suoi amanti,Josefine Mutzenbacher,https://www.imdb.com/title/tt0065918/,Film,5.6,89,1970,Commedia,297,8/21/1970,Kurt Nachmann,1970,,Leggera,Nessuna,Leggera,Leggera,Nessuna
tt0093558,Mondo New York,Mondo New York,https://www.imdb.com/title/tt0093558/,Film,5.9,83,1988,"Documentario, Commedia, Musica",275,9/21/1989,Harvey Keith,1989,"VM18, VM14",,,,,
tt0045034,Il piacere,Le plaisir,https://www.imdb.com/title/tt0045034/,Film,7.6,97,1952,"Commedia, Drammatico, Sentimentale",5475,10/16/1952,Max Ophüls,1952,VM16,Nessuna,Nessuna,Nessuna,Leggera,Leggera
tt0042906,La ronde: La giostra dell'amore,La ronde,https://www.imdb.com/title/tt0042906/,Film,7.5,93,1950,"Drammatico, Sentimentale",6080,1/16/1959,Max Ophüls,1954,VM16,Leggera,Nessuna,Nessuna,Leggera,Nessuna
tt0067040,Oltre l'Eden,L'Eden et après,https://www.imdb.com/title/tt0067040/,Film,6.4,93,1970,"Drammatico, Horror, Giallo",1424,4/20/1970,Alain Robbe-Grillet,1971,"VM18, VM14",Moderata,Moderata,Nessuna,Leggera,Moderata
tt0075375,Uomini si nasce poliziotti si muore,Uomini si nasce poliziotti si muore,https://www.imdb.com/title/tt0075375/,Film,6.5,96,1976,"Azione, Poliziesco, Drammatico, Thriller",1689,3/11/1976,Ruggero Deodato,1976,VM18 ,Leggera,Moderata,Moderata,Leggera,Grave
tt0067580,Pink Narcissus,Pink Narcissus,https://www.imdb.com/title/tt0067580/,Film,6.6,65,1971,"Drammatico, Fantastico",1719,10/16/1974,James Bidgood,1980,,Grave,Leggera,Grave,Moderata,
tt0026252,Riccioli d'oro,Curly Top,https://www.imdb.com/title/tt0026252/,Film,6.8,75,1935,"Per famiglie, Musical, Sentimentale",2140,7/26/1935,Irving Cummings,,,,,,,
tt0057532,Una storia moderna - L'ape regina,Una storia moderna - L'ape regina,https://www.imdb.com/title/tt0057532/,Film,7.0,90,1963,"Commedia, Drammatico",840,4/24/1963,Marco Ferreri,1963,"VM18, VM14",,,,,
tt0073390,La cuginetta inglese,Les mille et une perversions de Felicia,https://www.imdb.com/title/tt0073390/,Film,5.7,96,1975,"Per adulti, Drammatico",328,5/30/1905,Max Pécas,1976,VM18,Grave,,,,
tt0041634,Manon,Manon,https://www.imdb.com/title/tt0041634/,Film,6.8,100,1949,"Poliziesco, Drammatico",1222,3/15/1950,Henri-Georges Clouzot,1949,VM16,Leggera,Leggera,Nessuna,Leggera,Leggera
tt0062414,Ulysses,Ulysses,https://www.imdb.com/title/tt0062414/,Film,6.4,132,1967,Drammatico,1004,6/1/1967,Joseph Strick,1968,,,,,,
tt0067283,Justine de Sade,Justine de Sade,https://www.imdb.com/title/tt0067283/,Film,5.0,100,1972,"Drammatico, Horror",475,5/19/1972,Claude Pierson,1972,,Moderata,Leggera,,,
tt0081296,La padrona è servita,La padrona è servita,https://www.imdb.com/title/tt0081296/,Film,4.8,105,1976,"Commedia, Drammatico, Sentimentale",121,3/13/1976,Mario Lanfranchi,1975,"VM18, Cut",,,,,
tt0066102,Dai... muoviti,Move,https://www.imdb.com/title/tt0066102/,Film,5.1,90,1970,"Commedia, Fantastico",210,11/27/1970,Stuart Rosenberg,1970,VM18,,,,,
tt0073815,Il sapore della paura,La traque,https://www.imdb.com/title/tt0073815/,Film,7.2,97,1975,"Drammatico, Thriller",756,5/14/1975,Serge Leroy,1975,VM18,Moderata,Moderata,Moderata,Leggera,
tt0058285,La regina del Rio delle Amazzoni,Lana - Königin der Amazonen,https://www.imdb.com/title/tt0058285/,Film,4.1,79,1964,"Azione, Avventura, Sentimentale",138,11/27/1964,Géza von Cziffra,1965,VM18,Leggera,,,,
tt0067681,Quando il sole scotta,La route de Salina,https://www.imdb.com/title/tt0067681/,Film,6.7,96,1970,Drammatico,1040,11/17/1970,Georges Lautner,1970,VM18,Leggera,,,Leggera ,
tt0064532,Kama Sutra,Kamasutra - Vollendung der Liebe,https://www.imdb.com/title/tt0064532/,Film,4.3,90,1969,Drammatico,136,6/5/1969,Kobi Jaeger,1970,\,,,,,
tt1883269,Morituris,Morituris,https://www.imdb.com/title/tt1883269/,Film,4.2,83,2011,Horror,595,6/3/2011,Raffaele Picchio,2012,,Moderata,Grave,Grave,Grave,Grave
tt0132726,Below the Belt,Below the Belt,https://www.imdb.com/title/tt0132726/,Film,3.8,89,1971,"Commedia, Azione, Poliziesco, Sentimentale",258,12/1/1971,Bethel Buckalew,1981,,Moderata,Grave,,Leggera,
tt0064618,Mia nipote la vergine,Madame und ihre Nichte,https://www.imdb.com/title/tt0064618/,Film,5.0,87,1969,Drammatico,106,5/9/1969,Eberhard Schröder,1970,VM18,,,,,
tt0058409,Le professioniste,Nikutai no mon,https://www.imdb.com/title/tt0058409/,Film,7.2,90,1964,Drammatico,3464,6/13/1968,Seijun Suzuki,1967,"VM18, Cut",Moderata,Leggera,Leggera,Moderata,Leggera
tt0091454,Lussuria,Lussuria,https://www.imdb.com/title/tt0091454/,Film,4.4,83,1986,Drammatico,217,4/17/1986,Joe D'Amato,1986,VM18,Moderata,,,,
tt0158940,Manhattan Prostitution,Sex Wish,https://www.imdb.com/title/tt0158940/,Film,5.1,80,1976,"Per adulti, Horror, Thriller",173,9/18/1980,Victor Milt,1983,,,,,,
tt0065380,Il mondo di Alex,Alex in Wonderland,https://www.imdb.com/title/tt0065380/,Film,5.4,110,1970,"Commedia, Drammatico",1016,2/1/1971,Paul Mazursky,1971,VM18,Leggera,,,,
tt0083155,Le viziose,L'éventreur de Notre-Dame,https://www.imdb.com/title/tt0083155/,Film,4.7,78,1975,Horror,972,8/20/1975,Jesús Franco,1975,VM18,Grave,Grave,Moderata,Leggera,
tt0073712,Simona,Simona,https://www.imdb.com/title/tt0073712/,Film,3.9,91,1974,Drammatico,184,2/22/1974,Patrick Longchamps,1973,"VM18, Cut",Moderata,Moderata,,,
tt0131515,Oscenità,Quando l'amore è oscenità,https://www.imdb.com/title/tt0131515/,Film,4.4,84,1980,"Per adulti, Drammatico",227,2/14/1980,Renato Polselli,1980,VM18,,,,,
tt0039306,Tormento,Dear Murderer,https://www.imdb.com/title/tt0039306/,Film,6.9,90,1947,"Poliziesco, Drammatico, Noir",1158,4/1/1948,Arthur Crabtree,1947,,,Leggera,,Leggera,Leggera
tt0166788,Satyricon,Satyricon,https://www.imdb.com/title/tt0166788/,Film,6.2,120,1969,"Commedia, Drammatico",262,3/27/1969,Gian Luigi Polidoro,1969,VM18,,,,,
tt0071834,Nella profonda luce dei sensi,La messe dorée,https://www.imdb.com/title/tt0071834/,Film,4.8,81,1975,Drammatico,71,4/22/1975,Beni Montresor,1974,VM18,,,,,
tt0064550,Alle dame del castello piace molto fare quello...,Komm liebe Maid und mache...,https://www.imdb.com/title/tt0064550/,Film,4.6,90,1969,Commedia,142,6/12/1972,Giuseppe Zaccariello,1970,VM18,,,,,
tt0040674,L'ultima tappa,Ostatni etap,https://www.imdb.com/title/tt0040674/,Film,7.2,105,1948,"Drammatico, Storico, Guerra",801,3/28/1948,Wanda Jakubowska,1951,"T, Cut",,,,,
tt0127862,SexWorld,SexWorld,https://www.imdb.com/title/tt0127862/,Film,6.1,85,1978,"Per adulti, Fantascienza",632,7/1/1978,Anthony Spinelli,1978,VM18,Grave,,,,
tt0314558,I piloti del sesso,Le rallye des joyeuses,https://www.imdb.com/title/tt0314558/,Film,4.3,80,1974,Commedia,45,9/4/1976,Alain Nauroy,1975,VM18,,,,,
tt0063511,La rivoluzione sessuale,La rivoluzione sessuale,https://www.imdb.com/title/tt0063511/,Film,5.1,92,1968,Drammatico,77,11/21/1968,Riccardo Ghione,1968,VM18,,,,,
tt0055923,La donna nel mondo,La donna nel mondo,https://www.imdb.com/title/tt0055923/,Film,5.5,110,1963,Documentario,407,1/30/1963,"Paolo Cavara, Gualtiero Jacopetti, Franco Prosperi",1962,VM18,Leggera,,,,
tt0057810,490 più 1 = 491,491,https://www.imdb.com/title/tt0057810/,Film,5.8,110,1964,"Poliziesco, Drammatico",439,6/4/1968,Vilgot Sjöman,1965,VM18,Moderata,Moderata,Moderata,Grave,Moderata
tt0057942,Chi lavora è perduto (in capo al mondo),Chi lavora è perduto (In capo al mondo),https://www.imdb.com/title/tt0057942/,Film,6.1,81,1963,Drammatico,229,8/25/1963,Tinto Brass,1963,VM18,Leggera,,,,
tt0253485,Quando l'amore non è perversione,Pleasure Palace,https://www.imdb.com/title/tt0253485/,Film,4.8,91,1973,Drammatico,61,4/14/1976,Ed Hunt,1975,VM18,,,,,
tt0041727,La caduta di Berlino,Padenie Berlina,https://www.imdb.com/title/tt0041727/,Film,5.6,167,1950,"Drammatico, Guerra",563,1/21/1950,Mikheil Chiaureli,1950,,,,,,
tt0062680,L'ago sotto la pelle,Der Arzt von St. Pauli,https://www.imdb.com/title/tt0062680/,Film,6.5,101,1968,"Poliziesco, Drammatico",111,9/20/1968,Rolf Olsen,1968,VM18,,,,,
tt0040603,Mom and Dad,Mom and Dad,https://www.imdb.com/title/tt0040603/,Film,5.2,97,1945,Drammatico,268,4/4/1949,William Beaudine,1955,,Leggera,,,,
